doc_id,n_words,n_tokens,language,corpus_code
KR1d0052_001,3516,842,Classical_Chinese,Kyoto
KR1d0052_002,2131,546,Classical_Chinese,Kyoto
KR1d0052_003,4927,869,Classical_Chinese,Kyoto
KR1d0052_004,4884,883,Classical_Chinese,Kyoto
KR1d0052_005,4245,737,Classical_Chinese,Kyoto
KR1d0052_006,5027,1085,Classical_Chinese,Kyoto
KR1d0052_007,3406,494,Classical_Chinese,Kyoto
KR1d0052_008,2202,443,Classical_Chinese,Kyoto
KR1d0052_009,2673,573,Classical_Chinese,Kyoto
KR1d0052_010,2300,578,Classical_Chinese,Kyoto
KR1d0052_011,2906,660,Classical_Chinese,Kyoto
KR1d0052_012,3742,875,Classical_Chinese,Kyoto
KR1d0052_013,2599,666,Classical_Chinese,Kyoto
KR1d0052_014,994,336,Classical_Chinese,Kyoto
KR1d0052_015,1637,271,Classical_Chinese,Kyoto
KR1d0052_016,806,228,Classical_Chinese,Kyoto
KR1d0052_017,1535,512,Classical_Chinese,Kyoto
KR1d0052_018,1219,323,Classical_Chinese,Kyoto
KR1d0052_019,5195,863,Classical_Chinese,Kyoto
KR1d0052_020,2102,404,Classical_Chinese,Kyoto
KR1d0052_021,2856,570,Classical_Chinese,Kyoto
KR1d0052_022,1634,364,Classical_Chinese,Kyoto
KR1d0052_023,1734,365,Classical_Chinese,Kyoto
KR1d0052_024,864,230,Classical_Chinese,Kyoto
KR1d0052_025,3483,652,Classical_Chinese,Kyoto
KR1d0052_026,2767,486,Classical_Chinese,Kyoto
KR1d0052_027,719,253,Classical_Chinese,Kyoto
KR1d0052_028,1083,254,Classical_Chinese,Kyoto
KR1d0052_029,1067,305,Classical_Chinese,Kyoto
KR1d0052_030,681,204,Classical_Chinese,Kyoto
KR1d0052_031,1860,441,Classical_Chinese,Kyoto
KR1d0052_033,2498,495,Classical_Chinese,Kyoto
KR1d0052_034,1516,401,Classical_Chinese,Kyoto
KR1d0052_035,1063,181,Classical_Chinese,Kyoto
KR1d0052_036,700,231,Classical_Chinese,Kyoto
KR1d0052_037,407,123,Classical_Chinese,Kyoto
KR1d0052_038,648,165,Classical_Chinese,Kyoto
KR1d0052_039,511,195,Classical_Chinese,Kyoto
KR1d0052_040,238,121,Classical_Chinese,Kyoto
KR1d0052_041,631,188,Classical_Chinese,Kyoto
KR1d0052_042,1038,366,Classical_Chinese,Kyoto
KR1d0052_044,344,100,Classical_Chinese,Kyoto
KR1d0052_045,729,228,Classical_Chinese,Kyoto
KR1d0052_046,1102,266,Classical_Chinese,Kyoto
KR1d0052_047,990,249,Classical_Chinese,Kyoto
KR1d0052_048,459,171,Classical_Chinese,Kyoto
KR1d0052_049,816,253,Classical_Chinese,Kyoto
KR1d0052_050,649,226,Classical_Chinese,Kyoto
KR1h0001_003,2600,550,Classical_Chinese,Kyoto
KR1h0001_004,2377,479,Classical_Chinese,Kyoto
KR1h0001_005,2377,622,Classical_Chinese,Kyoto
KR1h0001_006,2484,624,Classical_Chinese,Kyoto
KR1h0001_007,2322,484,Classical_Chinese,Kyoto
KR1h0001_008,2236,510,Classical_Chinese,Kyoto
KR1h0001_009,2599,512,Classical_Chinese,Kyoto
KR1h0001_010,2399,467,Classical_Chinese,Kyoto
KR1h0001_013,2334,524,Classical_Chinese,Kyoto
KR1h0001_014,2182,538,Classical_Chinese,Kyoto
KR1h0004_004,498,171,Classical_Chinese,Kyoto
KR1h0004_005,838,282,Classical_Chinese,Kyoto
KR1h0004_006,791,285,Classical_Chinese,Kyoto
KR1h0004_007,852,296,Classical_Chinese,Kyoto
KR1h0004_008,603,245,Classical_Chinese,Kyoto
KR1h0004_009,797,286,Classical_Chinese,Kyoto
KR1h0004_010,644,285,Classical_Chinese,Kyoto
KR1h0004_011,1019,301,Classical_Chinese,Kyoto
KR1h0004_015,885,268,Classical_Chinese,Kyoto
KR1h0004_016,835,271,Classical_Chinese,Kyoto
KR1h0004_017,989,309,Classical_Chinese,Kyoto
KR1h0004_018,567,241,Classical_Chinese,Kyoto
KR1h0004_019,777,255,Classical_Chinese,Kyoto
KR1h0004_020,365,174,Classical_Chinese,Kyoto
KR2b0041_001,88,57,Classical_Chinese,Kyoto
KR2b0041_002,543,301,Classical_Chinese,Kyoto
KR2b0041_003,666,322,Classical_Chinese,Kyoto
KR2b0041_004,568,313,Classical_Chinese,Kyoto
KR2b0041_005,923,449,Classical_Chinese,Kyoto
KR2b0041_006,1848,640,Classical_Chinese,Kyoto
KR2b0041_008,2621,791,Classical_Chinese,Kyoto
KR2b0041_009,16238,2088,Classical_Chinese,Kyoto
KR2b0041_010,11527,1976,Classical_Chinese,Kyoto
KR2b0041_011,2874,891,Classical_Chinese,Kyoto
KR2b0041_012,2783,900,Classical_Chinese,Kyoto
KR2b0041_013,6771,1349,Classical_Chinese,Kyoto
KR2b0041_014,5073,1194,Classical_Chinese,Kyoto
KR2b0041_015,1485,638,Classical_Chinese,Kyoto
KR2b0041_017,5772,1193,Classical_Chinese,Kyoto
KR2b0041_018,17768,2331,Classical_Chinese,Kyoto
KR2b0041_019,18074,2498,Classical_Chinese,Kyoto
KR4a0001_002,1556,627,Classical_Chinese,Kyoto
KR4a0001_003,1519,675,Classical_Chinese,Kyoto
KR4a0001_004,4045,1123,Classical_Chinese,Kyoto
